Loading channels: ...working... done
gpytorch                       1.1.1            py_0  anaconda/cloud/conda-forge
gpytorch                       1.2.0            py_0  anaconda/cloud/conda-forge
gpytorch                       1.3.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
gpytorch                       1.4.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
gpytorch                       1.4.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
gpytorch                       1.4.2    pyhd8ed1ab_0  anaconda/cloud/conda-forge
gpytorch                       1.5.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
gpytorch                       1.5.0    pyhd8ed1ab_1  anaconda/cloud/conda-forge
gpytorch                       1.5.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
gpytorch                       1.6.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
gpytorch                       1.6.0    pyhd8ed1ab_1  anaconda/cloud/conda-forge
gpytorch                       1.7.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
gpytorch                       1.7.0    pyhd8ed1ab_1  anaconda/cloud/conda-forge
gpytorch                       1.8.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
gpytorch                       1.8.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
gpytorch                       1.9.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
gpytorch                       1.9.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
gpytorch                        1.10    pyhd8ed1ab_0  anaconda/cloud/conda-forge
gpytorch                        1.11    pyhd8ed1ab_0  anaconda/cloud/conda-forge
harmony-pytorch                0.1.5            py_0  anaconda/cloud/bioconda
harmony-pytorch                0.1.6            py_0  anaconda/cloud/bioconda
harmony-pytorch                0.1.7    pyhdfd78af_0  anaconda/cloud/bioconda
harmony-pytorch                0.1.7    pyhdfd78af_1  anaconda/cloud/bioconda
harmony-pytorch                0.1.8    pyhdfd78af_0  anaconda/cloud/bioconda
htm-pytorch                    0.0.4    pyhd8ed1ab_0  anaconda/cloud/conda-forge
intel-extension-for-pytorch          1.12.1 py310h6a678d5_0  anaconda/pkgs/main  
intel-extension-for-pytorch          1.12.1 py310h6a678d5_0  pkgs/main           
intel-extension-for-pytorch          1.12.1  py38h6a678d5_0  anaconda/pkgs/main  
intel-extension-for-pytorch          1.12.1  py38h6a678d5_0  pkgs/main           
intel-extension-for-pytorch          1.12.1  py39h6a678d5_0  anaconda/pkgs/main  
intel-extension-for-pytorch          1.12.1  py39h6a678d5_0  pkgs/main           
laplace-torch                  0.1a1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
